Spieltag;Heimmannschaft;Auswärtsmannschaft;Tore_Heim;Tore_Gast
1;1. FSV Mainz 05;Hannover 96;0;1
1;1899 Hoffenheim;SV Werder Bremen;1;0
1;Borussia Mönchengladbach;1. FC Köln;1;0
1;FC Bayern München;Bayer Leverkusen;3;1
1;FC Schalke 04;RB Leipzig;2;0
1;Hamburger SV;FC Augsburg;1;0
1;Hertha BSC;VfB Stuttgart;2;0
1;SC Freiburg;Eintracht Frankfurt;0;0
1;VfL Wolfsburg;Borussia Dortmund;0;3
2;1. FC Köln;Hamburger SV;1;3
2;Bayer Leverkusen;1899 Hoffenheim;2;2
2;Borussia Dortmund;Hertha BSC;2;0
2;Eintracht Frankfurt;VfL Wolfsburg;0;1
2;FC Augsburg;Borussia Mönchengladbach;2;2
2;Hannover 96;FC Schalke 04;1;0
2;RB Leipzig;SC Freiburg;4;1
2;SV Werder Bremen;FC Bayern München;0;2
2;VfB Stuttgart;1. FSV Mainz 05;1;0
3;1. FSV Mainz 05;Bayer Leverkusen;3;1
3;1899 Hoffenheim;FC Bayern München;2;0
3;Borussia Mönchengladbach;Eintracht Frankfurt;0;1
3;FC Augsburg;1. FC Köln;3;0
3;FC Schalke 04;VfB Stuttgart;3;1
3;Hamburger SV;RB Leipzig;0;2
3;Hertha BSC;SV Werder Bremen;1;1
3;SC Freiburg;Borussia Dortmund;0;0
3;VfL Wolfsburg;Hannover 96;1;1
4;1899 Hoffenheim;Hertha BSC;1;1
4;Bayer Leverkusen;SC Freiburg;4;0
4;Borussia Dortmund;1. FC Köln;5;0
4;Eintracht Frankfurt;FC Augsburg;1;2
4;FC Bayern München;1. FSV Mainz 05;4;0
4;Hannover 96;Hamburger SV;2;0
4;RB Leipzig;Borussia Mönchengladbach;2;2
4;SV Werder Bremen;FC Schalke 04;1;2
4;VfB Stuttgart;VfL Wolfsburg;1;0
5;1. FC Köln;Eintracht Frankfurt;0;1
5;1. FSV Mainz 05;1899 Hoffenheim;2;3
5;Borussia Mönchengladbach;VfB Stuttgart;2;0
5;FC Augsburg;RB Leipzig;1;0
5;FC Schalke 04;FC Bayern München;0;3
5;Hamburger SV;Borussia Dortmund;0;3
5;Hertha BSC;Bayer Leverkusen;2;1
5;SC Freiburg;Hannover 96;1;1
5;VfL Wolfsburg;SV Werder Bremen;1;1
6;1. FSV Mainz 05;Hertha BSC;1;0
6;1899 Hoffenheim;FC Schalke 04;2;0
6;Bayer Leverkusen;Hamburger SV;3;0
6;Borussia Dortmund;Borussia Mönchengladbach;6;1
6;FC Bayern München;VfL Wolfsburg;2;2
6;Hannover 96;1. FC Köln;0;0
6;RB Leipzig;Eintracht Frankfurt;2;1
6;SV Werder Bremen;SC Freiburg;0;0
6;VfB Stuttgart;FC Augsburg;0;0
7;1. FC Köln;RB Leipzig;1;2
7;Borussia Mönchengladbach;Hannover 96;2;1
7;Eintracht Frankfurt;VfB Stuttgart;2;1
7;FC Augsburg;Borussia Dortmund;1;2
7;FC Schalke 04;Bayer Leverkusen;1;1
7;Hamburger SV;SV Werder Bremen;0;0
7;Hertha BSC;FC Bayern München;2;2
7;SC Freiburg;1899 Hoffenheim;3;2
7;VfL Wolfsburg;1. FSV Mainz 05;1;1
8;1. FSV Mainz 05;Hamburger SV;3;2
8;1899 Hoffenheim;FC Augsburg;2;2
8;Bayer Leverkusen;VfL Wolfsburg;2;2
8;Borussia Dortmund;RB Leipzig;2;3
8;FC Bayern München;SC Freiburg;5;0
8;Hannover 96;Eintracht Frankfurt;1;2
8;Hertha BSC;FC Schalke 04;0;2
8;SV Werder Bremen;Borussia Mönchengladbach;0;2
8;VfB Stuttgart;1. FC Köln;2;1
9;1. FC Köln;SV Werder Bremen;0;0
9;Borussia Mönchengladbach;Bayer Leverkusen;1;5
9;Eintracht Frankfurt;Borussia Dortmund;2;2
9;FC Augsburg;Hannover 96;1;2
9;FC Schalke 04;1. FSV Mainz 05;2;0
9;Hamburger SV;FC Bayern München;0;1
9;RB Leipzig;VfB Stuttgart;1;0
9;SC Freiburg;Hertha BSC;1;1
9;VfL Wolfsburg;1899 Hoffenheim;1;1
10;1. FSV Mainz 05;Eintracht Frankfurt;1;1
10;1899 Hoffenheim;Borussia Mönchengladbach;1;3
10;Bayer Leverkusen;1. FC Köln;2;1
10;FC Bayern München;RB Leipzig;2;0
10;FC Schalke 04;VfL Wolfsburg;1;1
10;Hannover 96;Borussia Dortmund;4;2
10;Hertha BSC;Hamburger SV;2;1
10;SV Werder Bremen;FC Augsburg;0;3
10;VfB Stuttgart;SC Freiburg;3;0
11;1. FC Köln;1899 Hoffenheim;0;3
11;Borussia Dortmund;FC Bayern München;1;3
11;Borussia Mönchengladbach;1. FSV Mainz 05;1;1
11;Eintracht Frankfurt;SV Werder Bremen;2;1
11;FC Augsburg;Bayer Leverkusen;1;1
11;Hamburger SV;VfB Stuttgart;3;1
11;RB Leipzig;Hannover 96;2;1
11;SC Freiburg;FC Schalke 04;0;1
11;VfL Wolfsburg;Hertha BSC;3;3
12;1. FSV Mainz 05;1. FC Köln;1;0
12;1899 Hoffenheim;Eintracht Frankfurt;1;1
12;Bayer Leverkusen;RB Leipzig;2;2
12;FC Bayern München;FC Augsburg;3;0
12;FC Schalke 04;Hamburger SV;2;0
12;Hertha BSC;Borussia Mönchengladbach;2;4
12;SV Werder Bremen;Hannover 96;4;0
12;VfB Stuttgart;Borussia Dortmund;2;1
12;VfL Wolfsburg;SC Freiburg;3;1
13;1. FC Köln;Hertha BSC;0;2
13;Borussia Dortmund;FC Schalke 04;4;4
13;Borussia Mönchengladbach;FC Bayern München;2;1
13;Eintracht Frankfurt;Bayer Leverkusen;0;1
13;FC Augsburg;VfL Wolfsburg;2;1
13;Hamburger SV;1899 Hoffenheim;3;0
13;Hannover 96;VfB Stuttgart;1;1
13;RB Leipzig;SV Werder Bremen;2;0
13;SC Freiburg;1. FSV Mainz 05;2;1
14;1. FSV Mainz 05;FC Augsburg;1;3
14;1899 Hoffenheim;RB Leipzig;4;0
14;Bayer Leverkusen;Borussia Dortmund;1;1
14;FC Bayern München;Hannover 96;3;1
14;FC Schalke 04;1. FC Köln;2;2
14;Hertha BSC;Eintracht Frankfurt;1;2
14;SC Freiburg;Hamburger SV;0;0
14;SV Werder Bremen;VfB Stuttgart;1;0
14;VfL Wolfsburg;Borussia Mönchengladbach;3;0
15;1. FC Köln;SC Freiburg;3;4
15;Borussia Dortmund;SV Werder Bremen;1;2
15;Borussia Mönchengladbach;FC Schalke 04;1;1
15;Eintracht Frankfurt;FC Bayern München;0;1
15;FC Augsburg;Hertha BSC;1;1
15;Hamburger SV;VfL Wolfsburg;0;0
15;Hannover 96;1899 Hoffenheim;2;0
15;RB Leipzig;1. FSV Mainz 05;2;2
15;VfB Stuttgart;Bayer Leverkusen;0;2
16;1. FSV Mainz 05;Borussia Dortmund;0;2
16;1899 Hoffenheim;VfB Stuttgart;1;0
16;Bayer Leverkusen;SV Werder Bremen;1;0
16;FC Bayern München;1. FC Köln;1;0
16;FC Schalke 04;FC Augsburg;3;2
16;Hamburger SV;Eintracht Frankfurt;1;2
16;Hertha BSC;Hannover 96;3;1
16;SC Freiburg;Borussia Mönchengladbach;1;0
16;VfL Wolfsburg;RB Leipzig;1;1
17;1. FC Köln;VfL Wolfsburg;1;0
17;Borussia Dortmund;1899 Hoffenheim;2;1
17;Borussia Mönchengladbach;Hamburger SV;3;1
17;Eintracht Frankfurt;FC Schalke 04;2;2
17;FC Augsburg;SC Freiburg;3;3
17;Hannover 96;Bayer Leverkusen;4;4
17;RB Leipzig;Hertha BSC;2;3
17;SV Werder Bremen;1. FSV Mainz 05;2;2
17;VfB Stuttgart;FC Bayern München;0;1
18;1. FC Köln;Borussia Mönchengladbach;2;1
18;Bayer Leverkusen;FC Bayern München;1;3
18;Borussia Dortmund;VfL Wolfsburg;0;0
18;Eintracht Frankfurt;SC Freiburg;1;1
18;FC Augsburg;Hamburger SV;1;0
18;Hannover 96;1. FSV Mainz 05;3;2
18;RB Leipzig;FC Schalke 04;3;1
18;SV Werder Bremen;1899 Hoffenheim;1;1
18;VfB Stuttgart;Hertha BSC;1;0
19;1. FSV Mainz 05;VfB Stuttgart;3;2
19;1899 Hoffenheim;Bayer Leverkusen;1;4
19;Borussia Mönchengladbach;FC Augsburg;2;0
19;FC Bayern München;SV Werder Bremen;4;2
19;FC Schalke 04;Hannover 96;1;1
19;Hamburger SV;1. FC Köln;0;2
19;Hertha BSC;Borussia Dortmund;1;1
19;SC Freiburg;RB Leipzig;2;1
19;VfL Wolfsburg;Eintracht Frankfurt;1;3
20;1. FC Köln;FC Augsburg;1;1
20;Bayer Leverkusen;1. FSV Mainz 05;2;0
20;Borussia Dortmund;SC Freiburg;2;2
20;Eintracht Frankfurt;Borussia Mönchengladbach;2;0
20;FC Bayern München;1899 Hoffenheim;5;2
20;Hannover 96;VfL Wolfsburg;0;1
20;RB Leipzig;Hamburger SV;1;1
20;SV Werder Bremen;Hertha BSC;0;0
20;VfB Stuttgart;FC Schalke 04;0;2
21;1. FC Köln;Borussia Dortmund;2;3
21;1. FSV Mainz 05;FC Bayern München;0;2
21;Borussia Mönchengladbach;RB Leipzig;0;1
21;FC Augsburg;Eintracht Frankfurt;3;0
21;FC Schalke 04;SV Werder Bremen;1;2
21;Hamburger SV;Hannover 96;1;1
21;Hertha BSC;1899 Hoffenheim;1;1
21;SC Freiburg;Bayer Leverkusen;0;0
21;VfL Wolfsburg;VfB Stuttgart;1;1
22;1899 Hoffenheim;1. FSV Mainz 05;4;2
22;Bayer Leverkusen;Hertha BSC;0;2
22;Borussia Dortmund;Hamburger SV;2;0
22;Eintracht Frankfurt;1. FC Köln;4;2
22;FC Bayern München;FC Schalke 04;2;1
22;Hannover 96;SC Freiburg;2;1
22;RB Leipzig;FC Augsburg;2;0
22;SV Werder Bremen;VfL Wolfsburg;3;1
22;VfB Stuttgart;Borussia Mönchengladbach;1;0
23;1. FC Köln;Hannover 96;1;1
23;Borussia Mönchengladbach;Borussia Dortmund;0;1
23;Eintracht Frankfurt;RB Leipzig;2;1
23;FC Augsburg;VfB Stuttgart;0;1
23;FC Schalke 04;1899 Hoffenheim;2;1
23;Hamburger SV;Bayer Leverkusen;1;2
23;Hertha BSC;1. FSV Mainz 05;0;2
23;SC Freiburg;SV Werder Bremen;1;0
23;VfL Wolfsburg;FC Bayern München;1;2
24;1. FSV Mainz 05;VfL Wolfsburg;1;1
24;1899 Hoffenheim;SC Freiburg;1;1
24;Bayer Leverkusen;FC Schalke 04;0;2
24;Borussia Dortmund;FC Augsburg;1;1
24;FC Bayern München;Hertha BSC;0;0
24;Hannover 96;Borussia Mönchengladbach;0;1
24;RB Leipzig;1. FC Köln;1;2
24;SV Werder Bremen;Hamburger SV;1;0
24;VfB Stuttgart;Eintracht Frankfurt;1;0
25;1. FC Köln;VfB Stuttgart;2;3
25;Borussia Mönchengladbach;SV Werder Bremen;2;2
25;Eintracht Frankfurt;Hannover 96;1;0
25;FC Augsburg;1899 Hoffenheim;0;2
25;FC Schalke 04;Hertha BSC;1;0
25;Hamburger SV;1. FSV Mainz 05;0;0
25;RB Leipzig;Borussia Dortmund;1;1
25;SC Freiburg;FC Bayern München;0;4
25;VfL Wolfsburg;Bayer Leverkusen;1;2
26;1. FSV Mainz 05;FC Schalke 04;0;1
26;1899 Hoffenheim;VfL Wolfsburg;3;0
26;Bayer Leverkusen;Borussia Mönchengladbach;2;0
26;Borussia Dortmund;Eintracht Frankfurt;3;2
26;FC Bayern München;Hamburger SV;6;0
26;Hannover 96;FC Augsburg;1;3
26;Hertha BSC;SC Freiburg;0;0
26;SV Werder Bremen;1. FC Köln;3;1
26;VfB Stuttgart;RB Leipzig;0;0
27;1. FC Köln;Bayer Leverkusen;2;0
27;Borussia Dortmund;Hannover 96;1;0
27;Borussia Mönchengladbach;1899 Hoffenheim;3;3
27;Eintracht Frankfurt;1. FSV Mainz 05;3;0
27;FC Augsburg;SV Werder Bremen;1;3
27;Hamburger SV;Hertha BSC;1;2
27;RB Leipzig;FC Bayern München;2;1
27;SC Freiburg;VfB Stuttgart;1;2
27;VfL Wolfsburg;FC Schalke 04;0;1
28;1. FSV Mainz 05;Borussia Mönchengladbach;0;0
28;1899 Hoffenheim;1. FC Köln;6;0
28;Bayer Leverkusen;FC Augsburg;0;0
28;FC Bayern München;Borussia Dortmund;6;0
28;FC Schalke 04;SC Freiburg;2;0
28;Hannover 96;RB Leipzig;2;3
28;Hertha BSC;VfL Wolfsburg;0;0
28;SV Werder Bremen;Eintracht Frankfurt;2;1
28;VfB Stuttgart;Hamburger SV;1;1
29;1. FC Köln;1. FSV Mainz 05;1;1
29;Borussia Dortmund;VfB Stuttgart;3;0
29;Borussia Mönchengladbach;Hertha BSC;2;1
29;Eintracht Frankfurt;1899 Hoffenheim;1;1
29;FC Augsburg;FC Bayern München;1;4
29;Hamburger SV;FC Schalke 04;3;2
29;Hannover 96;SV Werder Bremen;2;1
29;RB Leipzig;Bayer Leverkusen;1;4
29;SC Freiburg;VfL Wolfsburg;0;2
30;1. FSV Mainz 05;SC Freiburg;2;0
30;1899 Hoffenheim;Hamburger SV;2;0
30;Bayer Leverkusen;Eintracht Frankfurt;4;1
30;FC Bayern München;Borussia Mönchengladbach;5;1
30;FC Schalke 04;Borussia Dortmund;2;0
30;Hertha BSC;1. FC Köln;2;1
30;SV Werder Bremen;RB Leipzig;1;1
30;VfB Stuttgart;Hannover 96;1;1
30;VfL Wolfsburg;FC Augsburg;0;0
31;1. FC Köln;FC Schalke 04;2;2
31;Borussia Dortmund;Bayer Leverkusen;4;0
31;Borussia Mönchengladbach;VfL Wolfsburg;3;0
31;Eintracht Frankfurt;Hertha BSC;0;3
31;FC Augsburg;1. FSV Mainz 05;2;0
31;Hamburger SV;SC Freiburg;1;0
31;Hannover 96;FC Bayern München;0;3
31;RB Leipzig;1899 Hoffenheim;2;5
31;VfB Stuttgart;SV Werder Bremen;2;0
32;1. FSV Mainz 05;RB Leipzig;3;0
32;1899 Hoffenheim;Hannover 96;3;1
32;Bayer Leverkusen;VfB Stuttgart;0;1
32;FC Bayern München;Eintracht Frankfurt;4;1
32;FC Schalke 04;Borussia Mönchengladbach;1;1
32;Hertha BSC;FC Augsburg;2;2
32;SC Freiburg;1. FC Köln;3;2
32;SV Werder Bremen;Borussia Dortmund;1;1
32;VfL Wolfsburg;Hamburger SV;1;3
33;1. FC Köln;FC Bayern München;1;3
33;Borussia Dortmund;1. FSV Mainz 05;1;2
33;Borussia Mönchengladbach;SC Freiburg;3;1
33;Eintracht Frankfurt;Hamburger SV;3;0
33;FC Augsburg;FC Schalke 04;1;2
33;Hannover 96;Hertha BSC;3;1
33;RB Leipzig;VfL Wolfsburg;4;1
33;SV Werder Bremen;Bayer Leverkusen;0;0
33;VfB Stuttgart;1899 Hoffenheim;2;0
34;1. FSV Mainz 05;SV Werder Bremen;1;2
34;1899 Hoffenheim;Borussia Dortmund;3;1
34;Bayer Leverkusen;Hannover 96;3;2
34;FC Bayern München;VfB Stuttgart;1;4
34;FC Schalke 04;Eintracht Frankfurt;1;0
34;Hamburger SV;Borussia Mönchengladbach;2;1
34;Hertha BSC;RB Leipzig;2;6
34;SC Freiburg;FC Augsburg;2;0
34;VfL Wolfsburg;1. FC Köln;4;1
